Token,Mentions,Usernames,Current Price (USD),24h Trend (%)
DOGE,5,"takashik.trader1, kimjonguntrading, jesselivermoretrade, donaldtrumptrading, mrwhale7x",0.4297,0.67196935
XRP,4,"mrwhale7x, cryptovlogz, juskotrader, donaldtrumptrading",1.493,3.52336373
BTC,3,"coin_rule_signals, collin_pryce, kimjonguntrading",,
ETH,2,"collin_pryce, cryptovlogz",3512.759,3.76711686
BNB,2,"cryptovlogz, kimjonguntrading",668.292,-0.28568026
XAI,2,"donaldtrumptrading, kimjonguntrading",,
SAGA,1,jesselivermoretrade,2.232,5.78971273
ATOM,1,unichartz,,
WIF,1,jamiehurtt,,
NEAR,1,jamiehurtt,,
ALT,1,cryptomudi,,
MARA,1,cryptomudi,,
FLOKI,1,mrwhale7x,,
FTM,1,mrwhale7x,,
TIA,1,mrwhale7x,,
STRK,1,mrwhale7x,,
TON,1,kimjonguntrading,,
WMT,1,deepvaluereport,,
SAND,1,jamiehurtt,,
FIL,1,kimjonguntrading,,
STX,1,donaldtrumptrading,,
PNUT,1,donaldtrumptrading,,
WIFSANTA,1,ka1killa,,
LOADFROG,1,ka1killa,,
BARON,1,ka1killa,,
DK,1,cryptowiick13,,
750M,1,juskotrader,,
MANTA,1,jamiehurtt,,
JUP,1,takashik.trader1,1.152,2.42009672
XLM,1,takashik.trader1,0.528,-8.68029624
GMX,1,cryptovlogz,33.74,8.17898005
CRV,1,jesselivermoretrade,0.5448,9.05264623
ARB,1,jesselivermoretrade,0.9223,7.42441784
PEPE,1,jesselivermoretrade,2.06e-05,1.59365189
LTC,1,jesselivermoretrade,98.437,-1.0498393
76K,1,cryptovlogz,,
ADA,1,cryptovlogz,1.057,1.57715186
LINK,1,cryptovlogz,18.908,9.74511781
DOT,1,cryptovlogz,9.02,2.94296411
SHIB,1,cryptovlogz,2.611e-05,0.24065977
BONK,1,cryptovlogz,4.679e-05,1.98789292
WLD,1,takashik.trader1,2.593,2.87045115
PINS,1,investingwithrome,0.008239,0.43696719
CELH,1,investingwithrome,,
BA,1,investingwithrome,,0.0
ASML,1,investingwithrome,,
GOOGL,1,investingwithrome,,0.0
SMTC,1,investingwithrome,,
SMCI,1,investingwithrome,,
NVDA,1,investingwithrome,0.000459,-6.09788531
TSLA,1,investingwithrome,3.599e-07,-9.05328895
73K,1,yusufsuhair,,
